Date,xiv,vxx,ratio,ma_60,ma_150
2016-06-16,26.67,62.32,0.970642201835,0.897886932912,0.932837166288
2016-06-17,26.629999,62.32,0.965126811594,0.89882086462,0.933037183856
2016-06-20,28.49,57.84,0.949209391471,0.89946155953,0.932962071863
2016-06-21,28.35,58.240002,0.948458574181,0.900064815593,0.932833708994
2016-06-22,27.34,60.279999,0.985507246377,0.901509053502,0.933075966329
2016-06-23,30.049999,54.439999,0.943164362519,0.902331470638,0.932881101426
2016-06-24,22.0,67.32,1.0161358811,0.904308231732,0.933302671653
2016-06-27,21.459999,67.239998,0.997472620051,0.906131914258,0.933611891864
2016-06-28,23.219999,60.400002,0.954309938766,0.907033596798,0.933894677108
2016-06-29,24.33,57.080002,0.927686973749,0.907224192256,0.933903225108
2016-06-30,24.99,55.240002,0.914098029308,0.90749812045,0.933852712791
2016-07-01,25.940001,53.560001,0.902813299233,0.907293512733,0.933786838583
2016-07-05,25.5,54.48,0.912456228114,0.907430369579,0.933941296471
2016-07-06,26.110001,53.200001,0.89731917046,0.907205682657,0.933793803853
2016-07-07,26.52,52.200001,0.90612244898,0.907287663293,0.933912437259
2016-07-08,28.299999,48.84,0.878997867804,0.907101801729,0.933653244276
2016-07-11,28.209999,48.799999,0.886559139785,0.907066790829,0.933263513228
2016-07-12,28.889999,47.720001,0.885057471264,0.906999095834,0.932999350144
2016-07-13,29.379999,47.0,0.883785279469,0.907053294936,0.932659004723
2016-07-14,29.389999,46.959999,0.879645036051,0.906948042309,0.932093817784
2016-07-15,29.469999,46.720001,0.880991735537,0.906867808517,0.931458128797
2016-07-18,30.08,45.919998,0.876598110061,0.906661041195,0.930935970843
2016-07-19,30.030001,45.720001,0.878348214286,0.906719035443,0.930181892652
2016-07-20,30.91,44.599998,0.864501679731,0.906264631365,0.929307060545
2016-07-21,30.01,45.799999,0.872628726287,0.90605177157,0.928633122878
2016-07-22,30.74,44.68,0.868131868132,0.905817848033,0.928127052328
2016-07-25,30.9,44.439999,0.882321041215,0.905518979311,0.927684087805
2016-07-26,31.190001,44.0,0.88551275095,0.905114803266,0.927291045313
2016-07-27,31.9,43.0,0.875475802066,0.904754838918,0.926692555995
2016-07-28,32.48,42.240002,0.873362445415,0.904191192328,0.926210555392
2016-07-29,33.689999,40.720001,0.862416107383,0.903383355453,0.925707367934
2016-08-01,34.240002,40.080002,0.868362831858,0.90271764717,0.925170349062
2016-08-02,32.91,41.560001,0.879291845494,0.902446040673,0.924678783803
2016-08-03,33.650002,40.560001,0.875816993464,0.90213549139,0.924223281341
2016-08-04,34.580002,39.48,0.872293170461,0.902012505914,0.923630325768
2016-08-05,35.779999,38.080002,0.860716316089,0.901423251079,0.922957555474
2016-08-08,36.639999,37.200001,0.864803194524,0.900970641005,0.92209239346
2016-08-09,37.220001,36.560001,0.868390804598,0.90042324495,0.921431877655
2016-08-10,36.34,37.470001,0.876564277588,0.900186147312,0.920870942125
2016-08-11,36.52,37.290001,0.871298405467,0.899657975219,0.919897229016
2016-08-12,36.849998,36.950001,0.866061293984,0.898997068761,0.918810764359
2016-08-15,37.450001,36.34,0.867456288776,0.898378368353,0.917872784406
2016-08-16,36.169998,37.580002,0.881188118812,0.898260046974,0.917328568446
2016-08-17,37.169998,36.580002,0.867523756288,0.89785391138,0.916426591446
2016-08-18,37.549999,35.990002,0.856497175141,0.897432598596,0.915624880349
2016-08-19,37.549999,36.130001,0.85431959345,0.897030085098,0.914478038081
2016-08-22,37.439999,36.27,0.865921787709,0.896889781208,0.913376175013
2016-08-23,37.580002,36.200001,0.86001115449,0.896702289053,0.912191672261
2016-08-24,36.77,36.959999,0.875752599891,0.89673344335,0.911320653422
2016-08-25,36.619999,36.990002,0.88238512035,0.896775302837,0.910617921189
2016-08-26,36.560001,37.110001,0.881650380022,0.896933869373,0.909881314031
2016-08-29,37.299999,36.369999,0.876237623762,0.897080526596,0.909343823963
2016-08-30,37.580002,36.09,0.876435210498,0.897167377348,0.90867441665
2016-08-31,37.439999,36.240002,0.872432432432,0.897143195521,0.907983792829
2016-09-01,37.59,36.09,0.878771551724,0.897092259198,0.907222345797
2016-09-02,38.59,34.799999,0.860362836723,0.896650960513,0.906413346332
2016-09-06,39.990002,33.880001,0.863006100943,0.895814209093,0.905584406265
2016-09-07,40.470001,33.41,0.860077734592,0.89425956163,0.904775674637
2016-09-08,40.380001,33.509998,0.863462588749,0.892484969645,0.904008794404
2016-09-09,33.93,38.889999,0.927586206897,0.891658897466,0.903672526661
2016-09-12,36.209999,36.279999,0.903242677824,0.890535572066,0.903106088218
2016-09-13,31.57,41.080002,0.9375,0.890075125206,0.902651898099
2016-09-14,31.780001,40.889999,0.932530120482,0.889797137356,0.902184587958
2016-09-15,32.82,39.380001,0.912694430507,0.889201068295,0.901633669919
2016-09-16,33.400002,38.91,0.91317671093,0.887995559371,0.901235362334
2016-09-19,34.259998,37.900002,0.911327524346,0.887464945401,0.900890650694
2016-09-20,34.439999,37.639999,0.915521628499,0.885788041191,0.900655815743
2016-09-21,37.009998,34.66,0.889957264957,0.883996118606,0.900265615334
2016-09-22,38.470001,33.560001,0.875824175824,0.882688022557,0.89980000518
2016-09-23,38.119999,33.799999,0.878489326765,0.881868061774,0.899457317538
2016-09-26,35.970001,35.619999,0.909952606635,0.881798971396,0.899292931056
2016-09-27,37.860001,33.709999,0.894994559304,0.881668659064,0.89895417054
2016-09-28,38.380001,33.34,0.88306674021,0.881178834266,0.898641632404
