Date,VXV
16/09/2014,14.85
15/09/2014,15.58
12/09/2014,15.04
11/09/2014,14.68
10/09/2014,14.63
09/09/2014,14.84
08/09/2014,14.39
05/09/2014,14.08
04/09/2014,14.54
03/09/2014,14.39
02/09/2014,14.46
29/08/2014,14.27
28/08/2014,14.13
27/08/2014,13.92
26/08/2014,13.71
25/08/2014,13.57
22/08/2014,13.51
21/08/2014,13.53
20/08/2014,13.76
19/08/2014,13.79
18/08/2014,13.91
15/08/2014,14.42
14/08/2014,14.43
13/08/2014,14.85
12/08/2014,15.7
11/08/2014,15.76
08/08/2014,16.69
07/08/2014,17.22
06/08/2014,16.93
05/08/2014,17.14
04/08/2014,15.81
01/08/2014,16.78
31/07/2014,16.38
30/07/2014,14.26
29/07/2014,14.22
28/07/2014,13.92
25/07/2014,14
24/07/2014,13.45
23/07/2014,13.38
22/07/2014,13.5
21/07/2014,13.8
18/07/2014,13.36
17/07/2014,14.97
16/07/2014,12.63
15/07/2014,13.16
14/07/2014,12.93
11/07/2014,13.28
10/07/2014,13.65
09/07/2014,12.99
08/07/2014,13.21
07/07/2014,12.87
03/07/2014,12.24
02/07/2014,12.49
01/07/2014,12.74
30/06/2014,13.01
27/06/2014,12.82
26/06/2014,13.07
25/06/2014,13.11
24/06/2014,13.38
23/06/2014,12.92
20/06/2014,12.87
19/06/2014,12.7
18/06/2014,12.62
17/06/2014,13.66
16/06/2014,13.97
13/06/2014,13.79
12/06/2014,14.11
11/06/2014,13.29
10/06/2014,13.01
09/06/2014,13.02
06/06/2014,12.83
05/06/2014,13.58
04/06/2014,13.77
03/06/2014,13.82
02/06/2014,13.88
30/05/2014,13.75
29/05/2014,13.71
28/05/2014,13.77
27/05/2014,13.64
23/05/2014,13.62
22/05/2014,13.83
21/05/2014,13.87
20/05/2014,14.41
19/05/2014,14.11
16/05/2014,14.33
15/05/2014,14.86
14/05/2014,14.18
13/05/2014,14.04
12/05/2014,13.88
09/05/2014,14.38
08/05/2014,14.58
07/05/2014,14.62
06/05/2014,15.12
05/05/2014,14.75
02/05/2014,14.68
01/05/2014,14.67
30/04/2014,14.7
29/04/2014,14.83
28/04/2014,14.93
25/04/2014,15.18
24/04/2014,14.77
23/04/2014,14.83
22/04/2014,14.61
21/04/2014,14.75
17/04/2014,14.84
16/04/2014,15.23
15/04/2014,15.99
14/04/2014,16.34
11/04/2014,16.79
10/04/2014,16.07
09/04/2014,14.83
08/04/2014,15.53
07/04/2014,15.9
04/04/2014,14.96
03/04/2014,14.5
02/04/2014,14.45
01/04/2014,14.4
31/03/2014,15.08
28/03/2014,15.46
27/03/2014,15.87
26/03/2014,16.08
25/03/2014,15.53
24/03/2014,16.1
21/03/2014,16.18
20/03/2014,15.86
19/03/2014,16.38
18/03/2014,16.15
17/03/2014,16.69
14/03/2014,17.93
13/03/2014,17.13
12/03/2014,16.08
11/03/2014,16.35
10/03/2014,15.97
07/03/2014,15.87
06/03/2014,15.83
05/03/2014,15.77
04/03/2014,15.69
03/03/2014,16.92
28/02/2014,15.8
27/02/2014,15.63
26/02/2014,15.91
25/02/2014,15.5
24/02/2014,15.5
21/02/2014,15.64
20/02/2014,15.72
19/02/2014,16.29
18/02/2014,15.22
14/02/2014,15.17
13/02/2014,15.5
12/02/2014,15.65
11/02/2014,15.75
10/02/2014,16.32
07/02/2014,16.34
06/02/2014,17.79
05/02/2014,19.67
04/02/2014,19.08
03/02/2014,20.14
31/01/2014,18.09
30/01/2014,17.37
29/01/2014,17.24
28/01/2014,16.2
27/01/2014,17.13
24/01/2014,17.4
23/01/2014,14.98
22/01/2014,14.47
21/01/2014,14.62
17/01/2014,14.63
16/01/2014,14.69
15/01/2014,14.46
14/01/2014,14.49
13/01/2014,14.98
10/01/2014,13.94
09/01/2014,14.29
08/01/2014,14.29
07/01/2014,14.41
06/01/2014,14.82
03/01/2014,15.09
02/01/2014,15.26
31/12/2013,14.77
30/12/2013,14.77
27/12/2013,13.98
26/12/2013,14.03
24/12/2013,14.24
23/12/2013,14.52
20/12/2013,15.01
19/12/2013,15.28
18/12/2013,14.99
17/12/2013,16.5
16/12/2013,16.39
13/12/2013,16.27
12/12/2013,16.12
11/12/2013,15.99
10/12/2013,15.22
09/12/2013,14.93
06/12/2013,14.95
05/12/2013,15.78
04/12/2013,15.57
03/12/2013,15.49
02/12/2013,15.19
29/11/2013,15.03
