Date,Open,High,Low,Close,Adj Close,Volume
03/11/2015,6.05,6.155,5.98,6.015,6.015,354000
04/11/2015,6.06,6.06,5.765,5.82,5.82,383900
05/11/2015,5.82,5.945,5.735,5.925,5.925,646800
06/11/2015,5.91,6.05,5.79,6.04,6.04,522200
09/11/2015,5.995,6.04,5.64,5.715,5.715,714400
10/11/2015,5.625,5.91,5.625,5.87,5.87,534400
11/11/2015,5.915,5.925,5.74,5.74,5.74,297000
12/11/2015,5.61,5.665,5.24,5.265,5.265,823000
13/11/2015,5.21,5.255,4.87,4.895,4.895,1079000
16/11/2015,4.9,5.38,4.9,5.38,5.38,1164400
17/11/2015,5.465,5.495,4.995,5.1,5.1,925200
18/11/2015,5.185,5.435,5.185,5.42,5.42,641800
19/11/2015,5.38,5.41,5.2,5.255,5.255,440000
20/11/2015,5.4,5.49,5.39,5.41,5.41,852200
23/11/2015,5.425,5.6,5.415,5.565,5.565,600600
24/11/2015,5.43,5.605,5.355,5.525,5.525,437200
25/11/2015,5.55,5.64,5.52,5.605,5.605,381600
26/11/2015,5.615,5.645,5.615,5.64,5.64,3900
27/11/2015,5.61,5.62,5.525,5.525,5.525,232600
30/11/2015,5.59,5.625,5.535,5.6,5.6,262800
01/12/2015,5.65,5.83,5.62,5.815,5.815,669000
02/12/2015,5.835,5.905,5.57,5.595,5.595,654600
03/12/2015,5.715,5.715,5.07,5.205,5.205,1230800
04/12/2015,5.35,5.685,5.325,5.675,5.675,1068600
07/12/2015,5.655,5.655,5.34,5.515,5.515,836800
08/12/2015,5.285,5.5,5.235,5.385,5.385,553200
09/12/2015,5.31,5.48,5,5.15,5.15,1882000
10/12/2015,5.125,5.25,5.03,5.105,5.105,1002800
11/12/2015,4.835,4.88,4.225,4.34,4.34,2885600
14/12/2015,4.355,4.625,4.13,4.6,4.6,1149200
15/12/2015,4.735,4.835,4.62,4.77,4.77,1436800
16/12/2015,4.92,5.185,4.825,5.105,5.105,1842000
17/12/2015,5.13,5.13,4.84,4.91,4.91,783400
18/12/2015,4.755,4.78,4.47,4.53,4.53,2656800
21/12/2015,4.685,4.7,4.51,4.7,4.7,699300
22/12/2015,4.83,4.975,4.775,4.915,4.915,571400
23/12/2015,5.015,5.075,4.93,5.03,5.03,1089000
24/12/2015,5,5.015,4.935,4.95,4.95,57700
29/12/2015,5.065,5.12,5.035,5.06,5.06,320200
30/12/2015,5.02,5.025,4.915,4.92,4.92,316600
31/12/2015,4.875,4.95,4.82,4.825,4.825,179500
04/01/2016,4.45,4.535,4.28,4.5,4.5,1160700
05/01/2016,4.61,4.69,4.49,4.65,4.65,992100
06/01/2016,4.385,4.53,4.35,4.505,4.505,1079500
07/01/2016,4.255,4.335,3.965,4.05,4.05,1949500
08/01/2016,4.205,4.215,3.775,3.83,3.83,1836400
11/01/2016,3.825,3.96,3.525,3.925,3.925,2092800
12/01/2016,4.105,4.12,3.85,4.09,4.09,3049400
13/01/2016,4.185,4.2,3.62,3.685,3.685,3460000
14/01/2016,3.73,3.92,3.555,3.795,3.795,3239400
15/01/2016,3.4,3.565,3.305,3.425,3.425,4590200
18/01/2016,3.435,3.435,3.31,3.415,3.415,136800
19/01/2016,3.58,3.58,3.29,3.43,3.43,1631900
20/01/2016,3.3,3.42,3.045,3.33,3.33,2646400
21/01/2016,3.385,3.47,3.22,3.34,3.34,1327000
22/01/2016,3.515,3.63,3.475,3.615,3.615,847800
25/01/2016,3.55,3.62,3.425,3.44,3.44,1019500
26/01/2016,3.5,3.595,3.45,3.59,3.59,595300
27/01/2016,3.545,3.665,3.4,3.445,3.445,1505800
28/01/2016,3.555,3.595,3.43,3.57,3.57,2008400
29/01/2016,3.605,3.72,3.58,3.705,3.705,1928400
01/02/2016,3.695,3.8,3.62,3.755,3.755,738100
02/02/2016,3.64,3.64,3.475,3.5,3.5,1117100
03/02/2016,3.55,3.57,3.315,3.535,3.535,1507000
04/02/2016,3.495,3.59,3.445,3.49,3.49,816100
05/02/2016,3.505,3.51,3.31,3.365,3.365,917600
08/02/2016,3.245,3.265,3.065,3.195,3.195,1345000
09/02/2016,3.075,3.235,3.065,3.165,3.165,930800
10/02/2016,3.23,3.285,3.135,3.135,3.135,1854800
11/02/2016,2.925,3.03,2.845,2.96,2.96,3351000
12/02/2016,3.05,3.09,2.985,3.075,3.075,1443000
16/02/2016,3.18,3.23,3.14,3.215,3.215,468000
17/02/2016,3.305,3.365,3.27,3.34,3.34,508400
18/02/2016,3.305,3.4,3.3,3.36,3.36,583800
19/02/2016,3.305,3.45,3.265,3.435,3.435,686500
22/02/2016,3.53,3.65,3.525,3.64,3.64,603400
23/02/2016,3.61,3.615,3.44,3.445,3.445,691700
24/02/2016,3.3,3.505,3.25,3.49,3.49,1014800
